id,name
1,Adam B. Schiff
2,Adam Kinzinger
3,Adam Smith
4,Adrian Smith
5,Al Franken
6,Al Green
7,Alan S. Lowenthal
8,Albio Sires
9,Alcee L. Hastings
10,Alexander X. Mooney
11,Alma S. Adams
12,Ami Bera
13,Amy Klobuchar
14,André Carson
15,Andy Barr
16,Andy Harris
17,"Angus S. King, Jr."
18,Ann M. Kuster
19,Ann Wagner
20,Anna G. Eshoo
21,Aumua Amata Coleman Radewagen
22,Austin Scott
23,Barbara Comstock
24,Barbara Lee
25,Barry Loudermilk
26,Ben Ray Luján
27,Ben Sasse
28,Benjamin L. Cardin
29,Bennie G. Thompson
30,Bernard Sanders
31,Beto O'Rourke
32,Betty McCollum
33,Bill Cassidy
34,Bill Flores
35,Bill Foster
36,Bill Huizenga
37,Bill Johnson
38,Bill Nelson
39,Bill Pascrell Jr.
40,Bill Posey
41,Bill Shuster
42,Billy Long
43,Blaine Luetkemeyer
44,Blake Farenthold
45,Bob Corker
46,Bob Gibbs
47,Bob Goodlatte
48,Bobby L. Rush
49,Bonnie Watson Coleman
50,Brad R. Wenstrup
51,Brad Sherman
52,Bradley Byrne
53,Brenda L. Lawrence
54,Brendan F. Boyle
55,Brett Guthrie
56,Brian Babin
57,Brian Higgins
58,Brian Schatz
59,Bruce Poliquin
60,Bruce Westerman
61,C. A. Dutch Ruppersberger
62,Carlos Curbelo
63,Carolyn B. Maloney
64,Cathy McMorris Rodgers
65,Cedric L. Richmond
66,Charles E. Schumer
67,"Charles J. ""Chuck"" Fleischmann"
68,Charles W. Dent
69,Chellie Pingree
70,Cheri Bustos
71,Chris Collins
72,Chris Stewart
73,Chris Van Hollen
74,Christopher A. Coons
75,Christopher H. Smith
76,Christopher Murphy
77,Chuck Grassley
78,Claire McCaskill
79,Collin C. Peterson
80,Cory A. Booker
81,Cory Gardner
82,Dan Newhouse
83,Dana Rohrabacher
84,Daniel Lipinski
85,Daniel M. Donovan Jr.
86,Daniel Sullivan
87,Daniel T. Kildee
88,Daniel Webster
89,Danny K. Davis
90,Darin LaHood
91,Darrell E. Issa
92,Dave Brat
93,David A. Trott
94,David B. McKinley
95,David E. Price
96,David G. Reichert
97,David G. Valadao
98,David Loebsack
99,David N. Cicilline
100,David P. Joyce
101,David P. Roe
102,David Perdue
103,David Rouzer
104,David Schweikert
105,David Scott
106,David Young
107,Dean Heller
108,Deb Fischer
109,Debbie Dingell
110,Debbie Stabenow
111,Debbie Wasserman Schultz
112,Dennis A. Ross
113,Denny Heck
114,Derek Kilmer
115,Devin Nunes
116,Diana DeGette
117,Diane Black
118,Dianne Feinstein
119,Dina Titus
120,Don Young
121,Donald M. Payne Jr.
122,Donald Norcross
123,Donald S. Beyer Jr.
124,Doris O. Matsui
125,Doug Collins
126,Doug LaMalfa
127,Doug Lamborn
128,Duncan Hunter
129,Earl Blumenauer
130,"Earl L. ""Buddy"" Carter"
131,Ed Perlmutter
132,Eddie Bernice Johnson
133,Edward J. Markey
134,Edward R. Royce
135,Eleanor Holmes Norton
136,Elijah E. Cummings
137,Eliot L. Engel
138,Elise M. Stefanik
139,Elizabeth H. Esty
140,Elizabeth Warren
141,Emanuel Cleaver
142,"Eric A. ""Rick"" Crawford"
143,Eric Swalwell
144,Erik Paulsen
145,Evan H. Jenkins
146,F. James Sensenbrenner Jr.
147,Filemon Vela
148,Frank A. LoBiondo
149,Frank D. Lucas
150,Frank Pallone Jr.
151,Fred Upton
152,Frederica S. Wilson
153,G. K. Butterfield
154,Garret Graves
155,Gary C. Peters
156,Gary J. Palmer
157,Gene Green
158,George Holding
159,Gerald E. Connolly
160,Glenn Grothman
161,Glenn Thompson
162,Grace F. Napolitano
163,Grace Meng
164,Greg Walden
165,Gregg Harper
166,Gregorio Kilili Camacho Sablan
167,Gregory W. Meeks
168,Gus M. Bilirakis
169,Gwen Moore
170,H. Morgan Griffith
171,Hakeem S. Jeffries
172,Harold Rogers
173,Heidi Heitkamp
174,"Henry C. ""Hank"" Johnson Jr."
175,Henry Cuellar
176,Ileana Ros-Lehtinen
177,J. French Hill
178,Jack Reed
179,Jackie Speier
180,Jackie Walorski
181,Jaime Herrera Beutler
182,James A. Himes
183,James B. Renacci
184,James E. Risch
185,James Lankford
186,James M. Inhofe
187,James P. McGovern
188,James R. Langevin
189,Janice D. Schakowsky
190,Jared Huffman
191,Jared Polis
192,Jason Chaffetz
193,Jason Smith
194,Jeanne Shaheen
195,Jeb Hensarling
196,Jeff Denham
197,Jeff Duncan
198,Jeff Flake
199,Jeff Fortenberry
200,Jeff Merkley
201,Jeff Sessions
202,Jerrold Nadler
203,Jerry McNerney
204,Jerry Moran
205,Jim Bridenstine
206,Jim Cooper
207,Jim Costa
208,Jim Jordan
209,Joaquin Castro
210,Jody B. Hice
211,Joe Barton
212,Joe Courtney
213,Joe Donnelly
214,"Joe Manchin, III"
215,Joe Wilson
216,John A. Yarmuth
217,John Abney Culberson
218,John B. Larson
219,John Barrasso
220,John Boozman
221,John Conyers Jr.
222,John Cornyn
223,John Garamendi
224,John Hoeven
225,John J. Duncan Jr.
226,John K. Delaney
227,John Katko
228,John Lewis
229,John McCain
230,John P. Sarbanes
231,John R. Carter
232,John R. Moolenaar
233,John Ratcliffe
234,John Shimkus
235,John Thune
236,Johnny Isakson
237,Jon Tester
238,Joni Ernst
239,José E. Serrano
240,Joseph Crowley
241,Joseph P. Kennedy III
242,Joyce Beatty
243,Juan Vargas
244,Judy Chu
245,Julia Brownley
246,Justin Amash
247,K. Michael Conaway
248,Karen Bass
249,Katherine M. Clark
250,Kathleen M. Rice
251,Kathy Castor
252,Kay Granger
253,Keith Ellison
254,Keith J. Rothfus
255,Ken Buck
256,Ken Calvert
257,Kenny Marchant
258,Kevin Brady
259,Kevin Cramer
260,Kevin Yoder
261,Kirsten E. Gillibrand
262,Kristi L. Noem
263,Kurt Schrader
264,Kyrsten Sinema
265,Lamar Alexander
266,Lamar Smith
267,Larry Bucshon
268,Lee M. Zeldin
269,Leonard Lance
270,Linda T. Sánchez
271,Lindsey Graham
272,Lisa Murkowski
273,Lloyd Doggett
274,Lois Frankel
275,Lou Barletta
276,Louie Gohmert
277,Louise McIntosh Slaughter
278,Lucille Roybal-Allard
279,Luis V. Gutiérrez
280,Luke Messer
281,Lynn Jenkins
282,Mac Thornberry
283,Madeleine Z. Bordallo
284,Marc A. Veasey
285,Marcia L. Fudge
286,Marco Rubio
287,Marcy Kaptur
288,Maria Cantwell
289,Mario Diaz-Balart
290,Mark DeSaulnier
291,Mark E. Amodei
292,Mark Meadows
293,Mark Pocan
294,Mark R. Warner
295,Mark Sanford
296,Mark Takano
297,Mark Walker
298,Markwayne Mullin
299,Marsha Blackburn
300,Martha McSally
301,Martha Roby
302,Martin Heinrich
303,Matt Cartwright
304,Maxine Waters
305,Mazie K. Hirono
306,Mia B. Love
307,Michael B. Enzi
308,Michael C. Burgess
309,Michael E. Capuano
310,Michael F. Bennet
311,Michael F. Doyle
312,Michael K. Simpson
313,Michael R. Turner
314,Michael T. McCaul
315,Michelle Lujan Grisham
316,Mick Mulvaney
317,Mike Bishop
318,Mike Bost
319,Mike Coffman
320,Mike Crapo
321,Mike Kelly
322,Mike Lee
323,Mike Pompeo
324,Mike Quigley
325,Mike Rogers
326,Mike Rounds
327,Mike Thompson
328,Mimi Walters
329,Mitch McConnell
330,Mo Brooks
331,Niki Tsongas
332,Nita M. Lowey
333,Norma J. Torres
334,Nydia M. Velázquez
335,Orrin G. Hatch
336,Pat Roberts
337,Patrick J. Leahy
338,Patrick J. Tiberi
339,Patrick J. Toomey
340,Patrick Meehan
341,Patrick T. McHenry
342,Patty Murray
343,Paul A. Gosar
344,Paul Cook
345,Paul Ryan
346,Paul Tonko
347,Pete Aguilar
348,Pete Olson
349,Pete Sessions
350,Peter A. DeFazio
351,Peter J. Roskam
352,Peter J. Visclosky
353,Peter T. King
354,Peter Welch
355,Ralph Lee Abraham
356,Rand Paul
357,Randy Hultgren
358,Randy K. Weber Sr.
359,Raúl M. Grijalva
360,Raúl R. Labrador
361,Raul Ruiz
362,Richard Blumenthal
363,Richard Burr
364,Richard C. Shelby
365,Richard E. Neal
366,Richard Hudson
367,Richard J. Durbin
368,Richard M. Nolan
369,Rick Larsen
370,Rick W. Allen
371,Rob Bishop
372,Rob Portman
373,Rob Woodall
374,Robert A. Brady
375,Robert Aderholt
376,Robert B. Aderholt
377,"Robert C. ""Bobby"" Scott"
378,Robert E. Latta
379,Robert J. Wittman
380,Robert Menendez
381,"Robert P. Casey, Jr."
382,Robert Pittenger
383,Robin L. Kelly
384,Rod Blum
385,Rodney Davis
386,Rodney P. Frelinghuysen
387,Roger F. Wicker
388,Roger Williams
389,Ron DeSantis
390,Ron Johnson
391,Ron Kind
392,Ron Wyden
393,Rosa L. DeLauro
394,Roy Blunt
395,Ruben Gallego
396,Ryan A. Costello
397,Ryan K. Zinke
398,Sam Graves
399,Sam Johnson
400,Sander Levin
401,Sander M. Levin
402,Sanford D. Bishop Jr.
403,Scott DesJarlais
404,Scott H. Peters
405,Scott Perry
406,Scott R. Tipton
407,Sean P. Duffy
408,Sean Patrick Maloney
409,Seth Moulton
410,Sheila Jackson Lee
411,Sheldon Whitehouse
412,Shelley Moore Capito
413,Sherrod Brown
414,Stacey E. Plaskett
415,Stephen F. Lynch
416,Stephen Knight
417,Stevan Pearce
418,Steve Chabot
419,Steve Cohen
420,Steve Daines
421,Steve King
422,Steve Russell
423,Steve Scalise
424,Steve Stivers
425,Steve Womack
426,Steven M. Palazzo
427,Susan A. Davis
428,Susan M. Collins
429,Susan W. Brooks
430,Suzan K. DelBene
431,Suzanne Bonamici
432,Tammy Baldwin
433,Tammy Duckworth
434,Ted Cruz
435,Ted Lieu
436,Ted Poe
437,Ted S. Yoho
438,Terri A. Sewell
439,Thad Cochran
440,Theodore E. Deutch
441,Thom Tillis
442,Thomas J. Rooney
443,Thomas MacArthur
444,Thomas Massie
445,Thomas R. Carper
446,Tim Kaine
447,Tim Murphy
448,Tim Ryan
449,Tim Scott
450,Tim Walberg
451,Timothy J. Walz
452,Todd C. Young
453,Todd Rokita
454,Tom Cole
455,Tom Cotton
456,Tom Emmer
457,Tom Graves
458,Tom Marino
459,Tom McClintock
460,Tom Price
461,Tom Reed
462,Tom Rice
463,Tom Udall
464,Tony Cárdenas
465,Trent Franks
466,Trent Kelly
467,Trey Gowdy
468,Tulsi Gabbard
469,Vern Buchanan
470,Vicky Hartzler
471,Virginia Foxx
472,Walter B. Jones
473,Warren Davidson
474,Will Hurd
475,William R. Keating
476,Wm. Lacy Clay
477,Xavier Becerra
478,Yvette D. Clarke
479,Zoe Lofgren
